NewID,TotalYearsGiven,TotalDonations,FirstYear,LastYear,MultiyearGiver,DecemberGivings,YearsSinceLastGift,Most_recent_year_given,Frequency_score,AverageDonationPerYear,Gender,Age,State,AgeGroup
101556149,24,697.35,1990,2013,1,0.166666667,3,2013,-0.162687789,38.74166667,Unknown,43,TX,40-49
100023609,17,685,1993,2009,1,0.142857143,7,2009,-0.380182465,48.92857143,Unknown,56,FL,50-59
101555326,27,680,1990,2016,1,0.076923077,0,2016,-0.301421079,52.30769231,Male,52,CA,50-59
100680570,8,680,2009,2016,1,0.125,0,2016,0.018836613,85,Male,80,WA,70-79
100033638,13,676,1994,2006,1,0,10,2006,-0.420335328,75.11111111,Male,69,MD,60-69
100536006,8,675,2008,2015,1,0.125,1,2015,-0.086564653,84.375,Female,77,MA,70-79
101503964,9,675,2008,2016,1,0,0,2016,-0.490602839,112.5,Male,62,IL,60-69
101067246,20,667,1997,2016,1,0.125,0,2016,0.703944842,83.375,Male,48,NY,40-49
100068507,8,665,2002,2009,1,0.333333333,7,2009,1.61742248,110.8333333,Female,44,DE,40-49
100471557,8,654,2008,2015,1,0.25,1,2015,0.756645475,81.75,Male,77,MN,70-79
100717380,6,650,2009,2014,1,0,2,2014,-0.490602839,108.3333333,Male,71,IA,70-79
100780622,5,645,2009,2013,1,0.25,3,2013,0.071537246,161.25,Unknown,81,AR,80-89
100475736,15,625,1995,2009,1,0,7,2009,0.342569073,89.28571429,Male,47,AZ,40-49
100088256,13,625,2002,2014,1,0,2,2014,-0.244666552,156.25,Unknown,72,FL,70-79
101548387,24,623,1989,2012,1,0.444444444,4,2012,1.078704898,69.22222222,Male,32,MO,30-39
101207729,4,618,2013,2016,1,0.666666667,0,2016,3.233575224,154.5,Male,108,SC,100+
100065831,20,615,1997,2016,1,0,0,2016,-0.420335328,68.33333333,Unknown,65,NY,60-69
101082886,6,610,2011,2016,1,0,0,2016,-0.350067818,101.6666667,Female,55,PA,50-59
101135185,7,605,2008,2014,1,0,2,2014,-0.03386402,151.25,Unknown,62,LA,60-69
100157560,4,602,2003,2006,1,0.5,10,2006,1.547154969,301,Female,59,TX,50-59
101380741,15,601,2002,2016,1,0.25,0,2016,0.124237879,75.125,Unknown,74,MA,70-79
100853275,1,600,2013,2013,0,1,3,2013,2.81197016,600,Unknown,80,OK,70-79
100441132,2,600,2010,2011,1,0,5,2011,-0.139265286,300,Unknown,65,FL,60-69
101015986,4,600,2010,2013,1,0.75,3,2013,-0.139265286,150,Male,58,WY,50-59
100111120,12,588,2000,2011,1,0.25,5,2011,-0.10413153,49,Female,54,FL,50-59
100045919,20,580,1995,2014,1,0.142857143,2,2014,0.523256957,82.85714286,Unknown,68,TX,60-69
100836218,6,578,2010,2015,1,0.166666667,1,2015,0.001269736,96.33333333,Male,44,NY,40-49
100343113,6,570,2006,2011,1,0,5,2011,-0.139265286,114,Male,80,UT,70-79
101553390,16,565.6,1990,2005,1,0.142857143,11,2005,0.402798368,40.4,Male,50,IL,40-49
100101011,18,565,1999,2016,1,0.090909091,0,2016,-0.139265286,51.36363636,Unknown,35,DE,30-39
101080696,2,560,2013,2014,1,1,2,2014,2.390365096,280,Unknown,70,FL,60-69
100044574,14,558,2001,2014,1,0.166666667,2,2014,-0.420335328,93,Male,67,CA,60-69
101132198,3,550,2012,2014,1,0,2,2014,0.49314231,275,Male,58,NC,50-59
100081694,17,548,1998,2014,1,0.076923077,2,2014,-0.268989921,42.15384615,Female,58,PA,50-59
101533559,7,548,2010,2016,1,0.428571429,0,2016,1.607384264,78.28571429,Unknown,88,MI,80-89
100019534,17,535,1993,2009,1,0,7,2009,-0.514025342,59.44444444,Unknown,23,NY,20-29
100331344,7,535,2006,2012,1,0,4,2012,0.583486252,76.42857143,Unknown,80,AZ,70-79
100287912,9,525,1999,2007,1,0,9,2007,0.282339778,105,Female,54,VA,50-59
101360095,21,522,1989,2009,1,0.071428571,7,2009,0.463027662,37.28571429,Male,58,OK,50-59
100516956,15,520,1997,2011,1,0,5,2011,-0.420335328,86.66666667,Unknown,88,IN,80-89
100276967,3,518,2014,2016,1,0.666666667,0,2016,1.406619948,172.6666667,Unknown,41,CA,40-49
100851597,10,515,2005,2014,1,0.5,2,2014,0.703944842,257.5,Male,70,AL,60-69
101085890,4,510,2013,2016,1,0.75,0,2016,2.601167628,127.5,Female,74,TX,70-79
100898521,6,500,2007,2012,1,0,4,2012,-0.139265286,100,Male,71,NH,70-79
100895543,3,500,2010,2012,1,0.333333333,4,2012,0.141804757,166.6666667,Male,77,TX,70-79
100720993,2,500,2009,2010,1,0,6,2010,0.703944842,250,Unknown,83,MO,80-89
101428019,1,500,2015,2015,0,0,1,2015,-0.560870349,500,Female,92,TX,90-99
100291659,1,500,1998,1998,0,0,18,1998,0.282339778,500,Male,44,MO,40-49
100979676,3,500,2011,2013,1,0.5,3,2013,-0.560870349,250,Unknown,32,OH,30-39
100776450,3,500,2011,2013,1,0,3,2013,0.001269736,166.6666667,Unknown,43,MD,40-49
101500473,7,498,2009,2015,1,0.166666667,1,2015,-0.139265286,83,Unknown,54,NC,50-59
100714180,5,495,2012,2016,1,0.8,0,2016,3.655180287,99,Male,81,CA,80-89
100387557,11,485,2006,2016,1,0.2,0,2016,0.02937674,97,Male,57,PA,50-59
100836567,6,485,2010,2015,1,0.5,1,2015,0.49314231,121.25,Unknown,51,UT,50-59
100123725,9,480,2001,2009,1,0,7,2009,0.101651894,68.57142857,Male,60,NV,50-59
100097033,18,472,1999,2016,1,0.125,0,2016,0.572193259,29.5,Unknown,47,FL,40-49
100092791,4,470,2006,2009,1,0.333333333,7,2009,0.985014884,156.6666667,Female,80,NA,70-79
100355972,10,470,2006,2015,1,0,1,2015,0.342569073,67.14285714,Male,59,SC,50-59
101232383,2,468,2011,2012,1,0.5,4,2012,1.336352437,234,Female,82,NY,80-89
100387066,11,464,2006,2016,1,0.375,0,2016,-0.086564653,58,Unknown,26,MD,20-29
100029028,21,460,1994,2014,1,0.2,2,2014,-0.350067818,46,Male,45,WI,40-49
100055513,14,456,1989,2002,1,0.5,14,2002,1.160683661,38,Male,58,NY,50-59
101522424,11,455,2005,2015,1,0.444444444,1,2015,0.09495975,50.55555556,Unknown,51,MI,50-59
101093269,6,455,2011,2016,1,0.2,0,2016,0.282339778,91,Unknown,90,MA,80-89
100647163,5,450,2010,2014,1,0.6,2,2014,-0.139265286,90,Unknown,58,VA,50-59
100960978,3,450,2012,2014,1,0,2,2014,0.282339778,150,Unknown,93,IL,90-99
100606642,3,448,2014,2016,1,0.333333333,0,2016,0.422874799,149.3333333,Female,79,TX,70-79
101473117,4,444,2009,2012,1,0.5,4,2012,0.598543576,111,Unknown,49,CA,40-49
100109222,13,440,2000,2012,1,0.25,4,2012,0.282339778,110,Unknown,41,MI,40-49
100049027,21,435,1995,2015,1,0,1,2015,-0.259723875,62.14285714,Unknown,70,NY,60-69
101515389,8,435,2009,2016,1,0.285714286,0,2016,0.824403431,62.14285714,Male,77,IN,70-79
100061457,18,435,1996,2013,1,0.333333333,3,2013,-0.326645314,48.33333333,Unknown,69,FL,60-69
100194249,8,430,2003,2010,1,0.166666667,6,2010,0.001269736,71.66666667,Male,35,IA,30-39
100309398,9,426,2000,2008,1,0.285714286,8,2008,0.583486252,60.85714286,Unknown,58,AZ,50-59
101134077,4,420,2012,2015,1,0.666666667,1,2015,-0.560870349,140,Female,73,CA,70-79
100375908,10,410,2006,2015,1,0,1,2015,-0.297367185,51.25,Male,71,NM,70-79
100672050,5,410,2009,2013,1,0.8,3,2013,0.113697753,82,Unknown,76,KS,70-79
100356496,5,410,2006,2010,1,0,6,2010,0.914747374,102.5,Unknown,79,IN,70-79
101354863,7,405,2006,2012,1,0.6,4,2012,2.474686109,81,Female,56,MD,50-59
100034227,11,403,1994,2004,1,0.444444444,12,2004,0.282339778,44.77777778,Unknown,57,OH,50-59
101231743,3,403,2013,2015,1,0.333333333,1,2015,0.703944842,134.3333333,Male,69,MO,60-69
100655898,2,400,2011,2012,1,0.5,4,2012,-0.139265286,200,Unknown,53,CA,50-59
